X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.155209595882,39.7662413781868,104403,0000,,VIRGINIA,AVE,N,0000 VIRGINIA AV,VA  000030,5129,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1600756009898,39.766027061481,104404,0000,S,ILLINOIS,ST,W,0000 S ILLINOIS ST,,9173,MULTI SPACE,2019/08/28 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1507692101876,39.7709442008564,104405,200,N,NEW JERSEY,ST,W,200 N NEW JERSEY ST,NNJ 000230,2704,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1523622185015,39.7771005122754,104406,700,N,ALABAMA,ST,W,700 N ALABAMA ST,NA  000712,8785,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-1800,MON-FRI,MULTI
-86.152459472002,39.7742453335099,104407,500,N,ALABAMA,ST,W,500 N ALABAMA ST,NA  000504,8726,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2012/01/02 00:00:00+00,03,0700-1800,MON-FRI,MULTI
-86.1593872490506,39.7714008305676,104408,0000,W,NEW YORK,ST,N,0000 W NEW YORK ST,,728,LOADING ZONE,2019/08/29 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1494519918062,39.7682417703335,104409,400,E,MARKET,ST,S,400 E MARKET ST,,5453,MULTI SPACE,2014/09/05 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1578524574401,39.7758070444877,104410,600,N,MERIDIAN,ST,W,600 N MERIDIAN ST,NM  000606,2252,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1505436490413,39.7698165399468,104411,400,E,OHIO,ST,N,400 E OHIO ST,EO  000404,2801,ADA,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1460718407153,39.7769654757712,104412,700,,MASSACHUSETTS,AVE,,700 MASSACHUSETTS AV,MAS 000727,2081,ADA,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.163451171572,39.7717513919593,104413,300,N,SENATE,AVE,W,300 N SENATE AV,NS  000308,3883,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1556044228085,39.7727336019654,104414,100,E,VERMONT,ST,N,100 E VERMONT ST,EV  000108,2621,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,SINGLE
-86.1513778440862,39.7734533256142,104415,400,,MASSACHUSETTS,AVE,,400 MASSACHUSETTS AV,MAS 000456,1727,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.150702206593,39.7726991773513,104416,400,N,NEW JERSEY,ST,W,400 N NEW JERSEY ST,NNJ 000404,1456,ADA,2018/09/11 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1559521285885,39.7729000088784,104417,400,N,PENNSYLVANIA,ST,E,400 N PENNSYLVANIA ST,NP  000403,8631,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
