X,Y,OBJECTID,SPACE_,STATUS,DMS_LAT,DMS_Long,WHOLESTNAME,SideOfStreet,Block,GlobalID
1450181.168981,539866.052106008,4325,534,Operational,35.2193731986627,-80.8410472294535,E Martin Luther King Jr Bv,North,600,aafa2e10-3144-4aea-b9fa-11223050056e
1454215.198981,537935.563981012,4326,,Operational,35.2142745465587,-80.8274235152536,Elizabeth Av,South,1500,e8bb0a47-4583-49af-84e2-1d2afddc89a5
1451730.325856,542773.663356006,4327,,Operational,,,N Brevard St,West,400,4e76a07a-ed58-4efc-8e97-35f329506e05
1448795.150856,544807.303356007,4328,,Operational,35.2328770632552,-80.8459948303979,W 6th St,South,600,7985cc4d-ca91-4446-bd20-1ae24dcd8715
1448507.182106,541786.193356007,4329,2643,Pay Station,,,S Tryon St,East,400,879b4351-ceb1-4cb9-9681-c11471cf8555
1454652.840856,537558.980856001,4330,,Operational,35.2132621198224,-80.8259353220644,Elizabeth Av,North,1500,1e2170cc-808e-434d-bc27-f084875e9950
1449463.52085601,541653.932731003,4331,170,Operational,35.2242482683071,-80.8435608607155,E 3rd St,North,200,c6fb2cbd-7e81-4d40-81f1-23439690a0d1
1449591.731481,539859.443981007,4332,404,Operational,35.2193249939838,-80.8430200742422,S Davidson St,East,400,5f788230-71fb-4fa0-9163-aeeb1a92e313
1449691.42460601,543403.280856013,4333,,Operational,35.2290656963046,-80.8429066015969,N Church St,West,200,95637d98-fe4c-40c5-ba99-910e4220685f
1448420.778981,543141.185231,4334,,Operational,35.2282807833704,-80.847144505307,S Mint St,East,200,ca536fb8-4fc1-4c04-841f-ac8a53d6a019
1446942.620231,545444.225231007,4335,,Operational,35.2345319992785,-80.8522373461711,W Trade St,South,900,3da08874-3cf8-4692-856c-d15e24e0ad9e
1451149.52023101,544007.083356008,4336,2028,Operational,,,N Tryon St,West,500,6fbe27be-9729-4815-95f4-f35ca7ee3a39
1448803.28835601,543179.83085601,4337,2271,Operational,35.2282662757885,-80.8460325447404,S Poplar St,East,100,68da0f0f-977d-4ca5-b973-ef31c60dac14
1449575.90523101,540904.821481004,4338,2656,Operational,,,E Martin Luther King Jr Bv,North,400,80054b45-615c-4e15-9ee7-12673aadc14e
1449910.68710601,541156.203356013,4339,284,Operational,35.2229037145689,-80.8420328718695,E 3rd St,North,400,dc2cbc25-5fbd-46f4-8afa-0d32580ee201
1450402.341481,543161.413356006,4340,,Operational,35.2284374767052,-80.8405113704712,E 6th St,South,100,d7084e53-bfd4-4f0e-afe7-2564a40d6f58
1450052.20835601,539931.568356007,4341,515,Operational,35.2195466129249,-80.8414830191602,E Martin Luther King Jr Bv,South,600,0d97a89f-db13-4acb-b2b7-2bdf6eecb995
1449171.715231,543260.735231012,4342,,Operational,35.2286475748611,-80.8446377659352,W Trade St,North,200,24e79ece-36a4-4295-ac40-de22c833175a
1450281.13023101,540476.03398101,4343,379,Pay Station,35.2210540336949,-80.8407504591997,S Davidson St,West,300,42cf947b-d8e2-4e41-b3c4-39ff1f97d75c
1448382.92898101,541683.937106013,4344,079,Pay Station,,,S Tryon St,East,400,473f60d6-aea9-4463-810b-ab9237859687
1448946.33335601,543342.167731002,4345,2256,Operational,,,S Poplar St,West,100,84b7b792-ca00-4a45-a6fb-4bebd2207ab1
1454818.27273101,538097.458981007,4346,,Operational,35.2147497914926,-80.825414696025,Travis Av,East,200,a092055d-d9dc-4e00-ab0a-ea621d86748e
1450823.08148101,543677.485856012,4347,028,Operational,,,N Tryon St,,400,5068cc86-c227-4d00-ad4a-02de3f334e98
1449547.82710601,541560.900856003,4348,175,Operational,35.2239969928051,-80.8432728284853,E 3rd St,North,200,989cd013-106d-44f8-8231-04382081e79d
1450193.14585601,539852.887106001,4349,535,Operational,35.219337642051,-80.8410063171083,E Martin Luther King Jr Bv,North,600,995705ee-670b-4d8a-a8a4-ea1498545352
1451075.199606,539811.764606014,4350,495,Pay Station,35.2192695782193,-80.838050921603,E 3rd St,South,600,edc2dc05-cba1-468f-9506-684db6efa1db
1448379.76460601,543175.475856006,4351,,Operational,35.2283728894462,-80.8472839603804,S Mint St,West,200,b690260c-7720-4d7a-94d0-841567716471
1448753.70460601,544846.897106007,4352,,Operational,35.2329837172209,-80.8461360683175,W 6th St,South,600,e435447e-55fa-458a-ba5e-00362f937363
1445543.13148101,537655.270231009,4353,,Operational,35.2130624262569,-80.8564354930806,South Bv,West,1600,58a9f2ff-78d6-460c-9683-30a276ae74aa
1450784.245231,543043.728981003,4354,,Operational,35.2281336219889,-80.8392254299991,N College St,East,300,368beefa-080f-4a5d-87c0-73341cf8d022
1448648.95273101,543040.710856006,4355,,Operational,35.2280164234936,-80.8463743092073,S Poplar St,East,200,6969592b-d226-4730-81fc-b847cfe878db
1447970.76648101,545371.192731008,4356,2495,Operational,,,N Cedar St,East,200,db490bd1-16d8-469a-9a56-1861a3751cad
1450771.996481,540152.437106013,4357,478,Pay Station,35.2201900451295,-80.8390870826986,E 3rd St,South,600,46c1f15b-7880-48ad-a87d-a93a40d70378
1445524.402731,538098.163356006,4358,,Operational,35.2142781773988,-80.8565259157063,E Park Av,South,100,168277e6-0546-408f-a984-7b3851f61e2f
1446542.790856,545860.358981013,4359,2597,Operational,,,N Sycamore St,West,100,ba3561e9-3703-4db0-924b-e3f7a1869948
1448070.67085601,541436.240231007,4360,087,Pay Station,,,S Tryon St,East,500,9ea09c92-ce10-416a-8a53-39e959a9dfd8
1450792.680856,543650.647731006,4361,030,Operational,,,N Tryon St,,400,ede1d101-9fea-4b94-9b0a-66dd8141c18f
1448464.572731,541751.827106014,4362,075,Pay Station,,,S Tryon St,East,400,6675ae7d-d1b7-4def-880e-9dee6c6a6892
1450533.48398101,542832.920856014,4363,,Operational,35.2275417228307,-80.8400519083122,N College St,East,200,e28d5279-c28b-4c4b-9e6f-631d536e0c07
1448363.45398101,544820.325231001,4364,,Operational,35.2328907720461,-80.8474410687376,W 5th St,North,520,790cd991-2e36-495c-a79b-f7d368d4c15e
1448964.22585601,544100.908356011,4365,,Operational,35.2309450974705,-80.8453847529716,W 5th St,South,400,197dda3c-b158-4aa7-9a53-192314be1752
1445409.121481,537405.087731004,4366,,Operational,35.2123682398928,-80.8568684146272,South Bv,East,1700,60600f02-c339-494f-9054-389e3b47d63c
1449017.340231,543883.723356009,4367,,Operational,35.23035116108,-80.8451933992549,N Pine St,West,100,c2ea25b7-2b42-4450-be98-9fee022d3adb
1449211.213981,543216.773981005,4368,,Operational,35.2285288212819,-80.8445027861292,W Trade St,North,200,612c1631-4a7b-4942-991e-e4cb3b278c80
1447885.82648101,542116.720231012,4369,2246,Operational,,,W 1st St,North,200,0a41b700-4081-4a8d-815c-18a205aa31c9
