City,Street Address,Rate
New York City,York Avenue,5.375
New York City,Irving Place,5.375
New York City,East 15 Street,0.0
New York City,11 Avenue,5.375
New York City,Centre Street,5.375
New York City,3 Avenue,5.375
New York City,East 31 Street,5.375
New York City,2 Avenue,5.375
New York City,South End Avenue,0.0
New York City,East 27 Street,0.0
New York City,1 Avenue,5.375
New York City,2 Avenue,5.375
New York City,Park Avenue,0.0
New York City,3 Avenue,0.0
New York City,Lexington Avenue,0.0
New York City,3 Avenue,5.375
New York City,Canal Street,4.0
New York City,Mott Street,5.375
New York City,3 Avenue,2.0
New York City,Avenue L,1.625
New York City,East 13 Street,2.0
New York City,McDonald Avenue,1.625
New York City,Randall Avenue,1.625
New York City,East 167 Street,1.625
New York City,East Tremont Avenue,1.625
New York City,East 165 Street,1.625
New York City,Melrose Avenue,2.0
New York City,Lamport Place,1.625
New York City,Castle Hill Avenue,1.625
New York City,Justice Avenue,1.625
New York City,57 Avenue,1.625
New York City,108 Street,1.625
New York City,College Point Boulevard,1.625
New York City,81 Street,2.0
New York City,Metropolitan Avenue,1.625
New York City,Warren Street,1.625
New York City,84 Street,2.0
New York City,108 Street,1.625
New York City,73 Avenue,1.625
New York City,57 Avenue,1.625
New York City,Avenue A,5.375
New York City,West 57 Street,0.0
New York City,Broadway,5.25
New York City,West 26 Street,0.0
New York City,7 Avenue,0.0
New York City,West 25 Street,0.0
New York City,West 42 Street,0.0
New York City,West 34 Street,0.0
New York City,East 18 Street,0.0
New York City,East 19 Street,0.0
New York City,10 Avenue,5.375
New York City,9 Avenue,5.375
New York City,Washington Place,5.375
New York City,Park Avenue,6.0
New York City,9 Avenue,5.375
New York City,Lexington Avenue,6.0
New York City,Park Avenue,6.0
New York City,Bedford Avenue,2.0
New York City,Lee Avenue,1.625
New York City,Flatbush Avenue,1.625
New York City,42 Street,1.4375
New York City,43 Street,1.4375
New York City,13 Avenue,1.75
New York City,5 Avenue,3.0
New York City,Bleecker Street,1.625
New York City,N. Railroad Avenue,1.625
New York City,N. Railroad Avenue,1.625
New York City,Mason Avenue,1.25
New York City,Springfield Boulevard,1.625
New York City,Union Turnpike,1.625
New York City,Jamaica Avenue,1.625
New York City,Jamaica Avenue,1.625
New York City,Walton Avenue,1.25
New York City,East 161 Street,1.625
New York City,East 149 Street,2.0
New York City,East Tremont Avenue,1.625
New York City,86 Street,2.0
New York City,63 Drive,1.625
New York City,Roosevelt Avenue,2.0
New York City,82 Avenue,1.625
New York City,78 Avenue,1.625
New York City,Austin Street,1.625
New York City,76 Street,2.0
New York City,Main Street,3.0
New York City,64 Road,1.625
New York City,Broadway,1.625
New York City,Queens Boulevard,1.625
New York City,54 Avenue,1.625
New York City,Warren Street,1.625
New York City,42 Avenue,1.625
New York City,69 Place,1.625
New York City,East 14 Street,5.375
New York City,7 Avenue,4.5
New York City,West 35 Street,4.5
New York City,Broadway,4.5
New York City,9 Avenue,5.375
New York City,East 12 Street,5.375
New York City,8 Avenue,5.375
New York City,9 Avenue,5.375
New York City,1 Avenue,0.0
New York City,3 Avenue,5.375
New York City,Park Avenue,6.0
New York City,Lexington Avenue,5.375
New York City,East 66 Street,0.0
New York City,3 Avenue,5.375
New York City,4 Avenue,5.375
New York City,East 1 Street,5.375
New York City,1 Avenue,5.375
New York City,West 57 Street,6.0
New York City,Hudson Street,5.375
New York City,East 68 Street,0.0
New York City,2 Avenue,5.375
New York City,Park Avenue,0.0
New York City,Lexington Avenue,0.0
New York City,East 16 Street,5.375
New York City,5 Avenue,6.0
New York City,Broadway,4.5
New York City,West 22 Street,0.0
New York City,5 Avenue,0.0
New York City,West 21 Street,0.0
New York City,East 15 Street,5.375
New York City,14 Avenue,1.625
New York City,45 Street,1.75
New York City,13 Avenue,1.75
New York City,Lorimer Street,1.625
New York City,Leonard Street,1.625
New York City,Court Street,3.0
New York City,Graham Avenue,2.0
New York City,Varet Street,2.0
New York City,Smith Street,3.0
New York City,Broadway,1.625
New York City,13 Avenue,1.75
New York City,245 Street,1.625
New York City,212 Street,1.625
New York City,Jamaica Avenue,1.625
New York City,East 149 Street,2.0
New York City,Westchester Avenue,1.625
New York City,Parkchester Road,1.625
New York City,White Plains Road,1.625
New York City,East 149 Street,2.0
